timestamp	schemaVersion	decisionKind	admissionVerdict	admissionReasonCodes	route	decisionReasonCodes	classification	requestId	sessionId	actualModel	targetModel	matchStatus	classificationBasis	matchDeltaMs	sessionFile	originalPrompt	assistantText	toolCalls	toolResults
2026-07-10T21:54:05.135Z	1	continuation	strong	["scope_ambiguous"]		["scope_ambiguous"]	{"status":"skipped"}	f51e0e7f-c115-437b-a1d5-b38d02b6f178	019f4e03-ac52-73ab-891b-9890d5863d08	deepseek/deepseek-v4-flash	nvidia-free/z-ai/glm-5.2	matched	continuation_tool_batch	0					
2026-07-10T21:54:09.097Z	1	continuation	strong	["scope_ambiguous"]		["scope_ambiguous"]	{"status":"skipped"}	f51e0e7f-c115-437b-a1d5-b38d02b6f178	019f4e03-ac52-73ab-891b-9890d5863d08	deepseek/deepseek-v4-flash	nvidia-free/z-ai/glm-5.2	matched	continuation_tool_batch	0					
2026-07-10T21:54:11.464Z	1	continuation	strong	["scope_ambiguous"]		["scope_ambiguous"]	{"status":"skipped"}	f51e0e7f-c115-437b-a1d5-b38d02b6f178	019f4e03-ac52-73ab-891b-9890d5863d08	deepseek/deepseek-v4-flash	nvidia-free/z-ai/glm-5.2	matched	continuation_tool_batch	0					
2026-07-10T21:54:14.667Z	1	continuation	strong	["scope_ambiguous"]		["scope_ambiguous"]	{"status":"skipped"}	f51e0e7f-c115-437b-a1d5-b38d02b6f178	019f4e03-ac52-73ab-891b-9890d5863d08	deepseek/deepseek-v4-flash	nvidia-free/z-ai/glm-5.2	matched	continuation_tool_batch	0					
2026-07-10T21:54:16.879Z	1	continuation	strong	["scope_ambiguous"]		["scope_ambiguous"]	{"status":"skipped"}	f51e0e7f-c115-437b-a1d5-b38d02b6f178	019f4e03-ac52-73ab-891b-9890d5863d08	deepseek/deepseek-v4-flash	nvidia-free/z-ai/glm-5.2	matched	continuation_tool_batch	0					
2026-07-10T21:54:19.396Z	1	continuation	strong	["scope_ambiguous"]		["scope_ambiguous"]	{"status":"skipped"}	f51e0e7f-c115-437b-a1d5-b38d02b6f178	019f4e03-ac52-73ab-891b-9890d5863d08	deepseek/deepseek-v4-flash	nvidia-free/z-ai/glm-5.2	matched	continuation_tool_batch	0					
2026-07-10T21:54:21.688Z	1	continuation	strong	["scope_ambiguous"]		["scope_ambiguous"]	{"status":"skipped"}	f51e0e7f-c115-437b-a1d5-b38d02b6f178	019f4e03-ac52-73ab-891b-9890d5863d08	deepseek/deepseek-v4-flash	nvidia-free/z-ai/glm-5.2	matched	continuation_tool_batch	0					
2026-07-10T21:54:24.337Z	1	continuation	strong	["scope_ambiguous"]		["scope_ambiguous"]	{"status":"skipped"}	f51e0e7f-c115-437b-a1d5-b38d02b6f178	019f4e03-ac52-73ab-891b-9890d5863d08	deepseek/deepseek-v4-flash	nvidia-free/z-ai/glm-5.2	matched	continuation_tool_batch	0					
2026-07-10T21:54:26.491Z	1	continuation	strong	["scope_ambiguous"]		["scope_ambiguous"]	{"status":"skipped"}	f51e0e7f-c115-437b-a1d5-b38d02b6f178	019f4e03-ac52-73ab-891b-9890d5863d08	deepseek/deepseek-v4-flash	nvidia-free/z-ai/glm-5.2	matched	continuation_tool_batch	0					
2026-07-10T21:54:29.020Z	1	continuation	strong	["scope_ambiguous"]		["scope_ambiguous"]	{"status":"skipped"}	f51e0e7f-c115-437b-a1d5-b38d02b6f178	019f4e03-ac52-73ab-891b-9890d5863d08	deepseek/deepseek-v4-flash	nvidia-free/z-ai/glm-5.2	matched	continuation_tool_batch	0					
2026-07-10T21:54:31.909Z	1	continuation	strong	["scope_ambiguous"]		["scope_ambiguous"]	{"status":"skipped"}	f51e0e7f-c115-437b-a1d5-b38d02b6f178	019f4e03-ac52-73ab-891b-9890d5863d08	deepseek/deepseek-v4-flash	nvidia-free/z-ai/glm-5.2	matched	continuation_tool_batch	0					
2026-07-10T21:54:33.802Z	1	continuation	strong	["scope_ambiguous"]		["scope_ambiguous"]	{"status":"skipped"}	f51e0e7f-c115-437b-a1d5-b38d02b6f178	019f4e03-ac52-73ab-891b-9890d5863d08	deepseek/deepseek-v4-flash	nvidia-free/z-ai/glm-5.2	matched	continuation_tool_batch	0					
2026-07-10T21:54:36.917Z	1	continuation	strong	["scope_ambiguous"]		["scope_ambiguous"]	{"status":"skipped"}	f51e0e7f-c115-437b-a1d5-b38d02b6f178	019f4e03-ac52-73ab-891b-9890d5863d08	deepseek/deepseek-v4-flash	nvidia-free/z-ai/glm-5.2	matched	continuation_tool_batch	0					
